Id,Label,timeset,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,pageranks,indegree,outdegree,Degree
d3xt3rm0rg4n,d3xt3rm0rg4n,,80,0,0,0,0,0,0,0.000718,1,0,1
Mahmoud58809012,Mahmoud58809012,,6,0,0,0,0,0,0,0.000718,1,0,1
Zlatanthegreat,Zlatanthegreat,,5,0,0,0,0,0,0,0.000718,1,0,1
CinthyaUruena,CinthyaUruena,,7,0,0,0,0,0,0,0.000718,1,0,1
alktoOom,alktoOom,,918,0,0,0,0,0,0,0.000718,1,0,1
rowlinsontom,rowlinsontom,,22,0,0,0,0,0,0,0.000718,1,0,1
Ben7654155332,Ben7654155332,,27,0,0,0,0,0,0,0.000718,1,0,1
ppshack27,ppshack27,,7,0,0,0,0,0,0,0.000718,1,0,1
Eduardo71047893,Eduardo71047893,,0,0,0,0,0,0,0,0.000718,1,0,1
AliciaAparisio,AliciaAparisio,,109,0,0,0,0,0,0,0.000718,1,0,1
HlalatNasr,HlalatNasr,,1,0,0,0,0,0,0,0.000718,1,0,1
Baim_Sayyid090,Baim_Sayyid090,,47,0,0,0,0,0,0,0.000718,1,0,1
Domino24235762,Domino24235762,,4,0,0,0,0,0,0,0.000718,1,0,1
airalezdu,airalezdu,,0,0,0,0,0,0,0,0.000718,1,0,1
ElBoobman,ElBoobman,,14,0,0,0,0,0,0,0.000718,1,0,1
chanito6969,chanito6969,,13,0,0,0,0,0,0,0.000718,1,0,1
RulguliR,RulguliR,,2,0,0,0,0,0,0,0.000718,1,0,1
Sadot10,Sadot10,,17,0,0,0,0,0,0,0.000718,1,0,1
DTurner1982,DTurner1982,,189,0,0,0,0,0,0,0.000718,1,0,1
charrovany,charrovany,,908,0,0,0,0,0,0,0.000718,1,0,1
Tzeetch,Tzeetch,,512,0,0,0,0,0,0,0.000718,1,0,1
Kevinba16732749,Kevinba16732749,,51,0,0,0,0,0,0,0.000718,1,0,1
